T_keV,sv_m3_per_s_adopted,sv_m3_per_s_low,sv_m3_per_s_high,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high,Pbrem_per_ne2_Wm3
77.12906117627992,8.524539942895484e-22,8.008886314174358e-22,9.039465783303907e-22,1.1950591373093484e-34,1.1227694202315974e-34,1.2672468254120526e-34,7.847652334494602e-36
78.47599703514611,8.50541010255229e-22,7.992478334428708e-22,9.01939306757547e-22,1.192377316278472e-34,1.12046917807763e-34,1.2644328222514629e-34,7.95490506057659e-36
79.84645497739086,8.4840617360085e-22,7.973826629439274e-22,8.996011036345596e-22,1.189384479049051e-34,1.117854387059776e-34,1.261154884643416e-34,8.064116971164705e-36
81.24084577862966,8.460588139648769e-22,7.953058007308246e-22,8.969739978717683e-22,1.186093704883744e-34,1.114942824463639e-34,1.257471933108749e-34,8.175332111849535e-36
82.65958738801808,8.435315432047759e-22,7.930505642143789e-22,8.941223670218542e-22,1.1825507124940719e-34,1.1117811981191953e-34,1.2534742188317887e-34,8.288595621828733e-36
84.10310505352605,8.408567328936114e-22,7.906500464398083e-22,8.911100041511015e-22,1.178800883735758e-34,1.1084159013172665e-34,1.2492511736027208e-34,8.403953762112049e-36
85.57183144940007,8.380664529899977e-22,7.881370500420371e-22,8.879999825310358e-22,1.1748891776298547e-34,1.1048929202211605e-34,1.2448912201281796e-34,8.521453944463551e-36
87.06620680585127,8.351753426613367e-22,7.855242352759312e-22,8.848275566766947e-22,1.17083611689182e-34,1.1012300032998388e-34,1.2404437818733723e-34,8.641144761100258e-36
88.58667904100822,8.321350363418593e-22,7.827531001195217e-22,8.815194773632774e-22,1.1665738976147094e-34,1.0973451363022404e-34,1.2358061704164183e-34,8.763076015167144e-36
90.13370389517434,8.289497713956641e-22,7.798284900802003e-22,8.780744375598138e-22,1.1621084601785528e-34,1.093245112167248e-34,1.2309765534246475e-34,8.887298752008857e-36
91.70774506742931,8.256310683496433e-22,7.76763813614711e-22,8.745021415891667e-22,1.1574559552624737e-34,1.0889487282714436e-34,1.2259685354324822e-34,9.013865291259023e-36
93.30927435461663,8.221903580152134e-22,7.7357237544586135e-22,8.708122203679587e-22,1.1526324077730608e-34,1.0844746365663302e-34,1.2207956180658022e-34,9.142829259768702e-36
